timestamp,elapsed_time,current_speed,tempomat_target,original_tempomat,distance_to_lead,lead_vehicle_speed,distronic_active,distronic_speed,our_position,lead_position
1752779365.2553766,18.426669359207153,118,118,120,99.91666666666653,118,True,118,104.97222222222216,204.8888888888887
1752779365.3631592,18.534451961517334,118,118,120,99.91666666666653,118,True,118,108.24999999999993,208.16666666666646
1752779365.4704685,18.641761302947998,118,118,120,99.91666666666653,118,True,118,111.5277777777777,211.44444444444423
1752779365.5789247,18.75021743774414,118,118,120,99.91666666666653,118,True,118,114.80555555555547,214.722222222222
1752779365.6874287,18.858721494674683,118,118,120,99.91666666666653,118,True,118,118.08333333333324,217.99999999999977
1752779365.7960467,18.967339515686035,118,118,120,99.91666666666653,118,True,118,121.36111111111101,221.27777777777754
1752779365.9050918,19.07638454437256,118,118,120,99.91666666666653,118,True,118,124.63888888888879,224.55555555555532
1752779366.0140078,19.185300588607788,118,118,120,99.91666666666653,118,True,118,127.91666666666656,227.8333333333331
1752779366.1214156,19.29270839691162,118,118,120,99.91666666666652,118,True,118,131.19444444444434,231.11111111111086
1752779366.2284265,19.39971923828125,118,118,120,99.91666666666652,118,True,118,134.47222222222211,234.38888888888863
1752779366.3354192,19.506711959838867,118,118,120,99.91666666666652,118,True,118,137.7499999999999,237.6666666666664
1752779366.4423127,19.613605499267578,118,118,120,99.91666666666652,118,True,118,141.02777777777766,240.94444444444417
1752779366.549428,19.720720767974854,118,118,120,99.91666666666652,118,True,118,144.30555555555543,244.22222222222194
1752779366.6570752,19.828367948532104,118,118,120,99.91666666666652,118,True,118,147.5833333333332,247.49999999999972
1752779366.7647498,19.936042547225952,118,118,120,99.91666666666652,118,True,118,150.86111111111097,250.7777777777775
1752779366.8742836,20.045576333999634,118,118,120,99.91666666666652,118,True,118,154.13888888888874,254.05555555555526
1752779366.9822912,20.153584003448486,118,118,120,99.91666666666652,118,True,118,157.41666666666652,257.33333333333303
1752779367.0911849,20.26247763633728,118,118,120,99.91666666666652,118,True,118,160.6944444444443,260.6111111111108
1752779367.198536,20.369828701019287,118,118,120,99.91666666666652,118,True,118,163.97222222222206,263.8888888888886
1752779367.3081656,20.479458332061768,118,118,120,99.91666666666652,118,True,118,167.24999999999983,267.16666666666634
1752779367.4156716,20.58696436882019,118,118,120,99.91666666666652,118,True,118,170.5277777777776,270.4444444444441
1752779367.5239692,20.69526195526123,118,118,120,99.91666666666652,118,True,118,173.80555555555537,273.7222222222219
1752779367.6322014,20.803494215011597,118,118,120,99.91666666666652,118,True,118,177.08333333333314,276.99999999999966
1752779367.7408302,20.91212296485901,118,118,120,99.91666666666652,118,True,118,180.36111111111092,280.27777777777743
1752779367.8492107,21.020503520965576,118,118,120,99.91666666666652,118,True,118,183.6388888888887,283.5555555555552
1752779367.9550884,21.126381158828735,118,118,120,99.91666666666652,118,True,118,186.91666666666646,286.833333333333
1752779368.0639372,21.235229969024658,118,118,120,99.91666666666652,118,True,118,190.19444444444423,290.11111111111074
1752779368.1723104,21.343603134155273,118,118,120,99.91666666666652,118,True,118,193.472222222222,293.3888888888885
1752779368.280144,21.451436758041382,118,118,120,99.91666666666652,118,True,118,196.74999999999977,296.6666666666663
1752779368.3890936,21.560386419296265,118,118,120,99.91666666666652,118,True,118,200.02777777777754,299.94444444444406
1752779368.4978015,21.66909432411194,118,118,120,99.91666666666652,118,True,118,203.30555555555532,303.22222222222183
1752779368.6059868,21.77727961540222,118,118,120,99.91666666666652,118,True,118,206.5833333333331,306.4999999999996
1752779368.7136772,21.88496994972229,118,118,120,99.91666666666652,118,True,118,209.86111111111086,309.7777777777774
1752779368.8215163,21.992809057235718,118,118,120,99.91666666666652,118,True,118,213.13888888888863,313.05555555555515
1752779368.9317904,22.10308313369751,118,118,120,99.91666666666652,118,True,118,216.4166666666664,316.3333333333329
1752779369.0395927,22.210885524749756,118,118,120,99.91666666666652,118,True,118,219.69444444444417,319.6111111111107
1752779369.1494591,22.320751905441284,118,118,120,99.91666666666652,118,True,118,222.97222222222194,322.88888888888846
1752779369.2571533,22.428446054458618,118,118,120,99.91666666666652,118,True,118,226.24999999999972,326.16666666666623
1752779369.3658311,22.537123918533325,118,118,120,99.91666666666652,118,True,118,229.5277777777775,329.444444444444
1752779369.4724977,22.64379048347473,118,118,120,99.91666666666652,118,True,118,232.80555555555526,332.7222222222218
1752779369.58239,22.753682851791382,118,118,120,99.91666666666652,118,True,118,236.08333333333303,335.99999999999955
1752779369.691224,22.8625168800354,118,118,120,99.91666666666652,118,True,118,239.3611111111108,339.2777777777773
1752779369.79781,22.96910285949707,118,118,120,99.91666666666652,118,True,118,242.63888888888857,342.5555555555551
1752779369.9061637,23.0774564743042,118,118,120,99.91666666666652,118,True,118,245.91666666666634,345.83333333333286
1752779370.0136344,23.184927225112915,118,118,120,99.91666666666652,118,True,118,249.19444444444412,349.11111111111063
1752779370.1219227,23.29321551322937,118,118,120,99.91666666666652,118,True,118,252.4722222222219,352.3888888888884
1752779370.2293966,23.400689363479614,118,118,120,99.91666666666652,118,True,118,255.74999999999966,355.6666666666662
1752779370.338563,23.5098557472229,118,118,120,99.91666666666652,118,True,118,259.02777777777743,358.94444444444395
1752779370.4456222,23.616914987564087,118,118,120,99.91666666666652,118,True,118,262.3055555555552,362.2222222222217
1752779370.554005,23.725297689437866,118,118,120,99.91666666666652,118,True,118,265.583333333333,365.4999999999995
1752779370.6634774,23.83477020263672,118,118,120,99.91666666666652,118,True,118,268.86111111111074,368.77777777777726
1752779370.771325,23.942617893218994,118,118,120,99.91666666666652,118,True,118,272.1388888888885,372.05555555555503
1752779370.879782,24.051074743270874,118,118,120,99.91666666666652,118,True,118,275.4166666666663,375.3333333333328
1752779370.9880233,24.159316062927246,118,118,120,99.91666666666652,118,True,118,278.69444444444406,378.6111111111106
1752779371.0960488,24.26734161376953,118,118,120,99.91666666666652,118,True,118,281.97222222222183,381.88888888888835
1752779371.2041616,24.375454425811768,118,118,120,99.91666666666652,118,True,118,285.2499999999996,385.1666666666661
1752779371.3130114,24.484304189682007,118,118,120,99.91666666666652,118,True,118,288.5277777777774,388.4444444444439
1752779371.4219863,24.593279123306274,118,118,120,99.91666666666652,118,True,118,291.80555555555515,391.72222222222166
1752779371.5310152,24.70230793952942,118,118,120,99.91666666666652,118,True,118,295.0833333333329,394.99999999999943
1752779371.638694,24.80998682975769,118,118,120,99.91666666666652,118,True,118,298.3611111111107,398.2777777777772
1752779371.7477279,24.919020652770996,118,118,120,99.91666666666652,118,True,118,301.63888888888846,401.555555555555
1752779371.8559952,25.02728796005249,118,118,120,99.91666666666652,118,True,118,304.91666666666623,404.83333333333275
1752779371.963495,25.134787797927856,118,118,120,99.91666666666652,118,True,118,308.194444444444,408.1111111111105
1752779372.0714846,25.242777347564697,118,118,120,99.91666666666652,118,True,118,311.4722222222218,411.3888888888883
1752779372.1790266,25.350319385528564,118,118,120,99.91666666666652,118,True,118,314.74999999999955,414.66666666666606
1752779372.2858033,25.457096099853516,118,118,120,99.91666666666652,118,True,118,318.0277777777773,417.94444444444383
1752779372.39201,25.563302755355835,118,118,120,99.91666666666652,118,True,118,321.3055555555551,421.2222222222216
1752779372.5011733,25.672466039657593,118,118,120,99.91666666666652,118,True,118,324.58333333333286,424.4999999999994
1752779372.6101344,25.781427145004272,118,118,120,99.91666666666652,118,True,118,327.86111111111063,427.77777777777715
1752779372.718009,25.889301776885986,118,118,120,99.91666666666652,118,True,118,331.1388888888884,431.0555555555549
1752779372.8270907,25.99838352203369,118,118,120,99.91666666666652,118,True,118,334.4166666666662,434.3333333333327
1752779372.9348397,26.10613250732422,118,118,120,99.91666666666652,118,True,118,337.69444444444395,437.61111111111046
1752779373.043345,26.214637756347656,118,118,120,99.91666666666652,118,True,118,340.9722222222217,440.88888888888823
1752779373.1528878,26.324180603027344,118,118,120,99.91666666666652,118,True,118,344.2499999999995,444.166666666666
1752779373.2629447,26.434237480163574,118,118,120,99.91666666666652,118,True,118,347.52777777777726,447.4444444444438
1752779373.372538,26.54383087158203,118,118,120,99.91666666666652,118,True,118,350.80555555555503,450.72222222222155
1752779373.4811137,26.652406454086304,118,118,120,99.91666666666652,118,True,118,354.0833333333328,453.9999999999993
1752779373.5887082,26.760000944137573,118,118,120,99.91666666666652,118,True,118,357.3611111111106,457.2777777777771
1752779373.6977158,26.869008541107178,118,118,120,99.91666666666652,118,True,118,360.63888888888835,460.55555555555486
1752779373.8062909,26.977583646774292,118,118,120,99.91666666666652,118,True,118,363.9166666666661,463.83333333333263
1752779373.9147785,27.086071252822876,118,118,120,99.91666666666652,118,True,118,367.1944444444439,467.1111111111104
1752779374.023502,27.19479489326477,118,118,120,99.91666666666652,118,True,118,370.47222222222166,470.3888888888882
1752779374.1324177,27.303710460662842,118,118,120,99.91666666666652,118,True,118,373.74999999999943,473.66666666666595
1752779374.241931,27.41322374343872,118,118,120,99.91666666666652,118,True,118,377.0277777777772,476.9444444444437
1752779374.3513722,27.52266502380371,118,118,120,99.91666666666652,118,True,118,380.305555555555,480.2222222222215
1752779374.4605565,27.63184928894043,117,117,120,99.8333333333332,115,True,117,383.58333333333275,483.41666666666595
1752779374.5679955,27.739288330078125,116,116,120,99.77777777777766,115,True,116,386.83333333333275,486.6111111111104
1752779374.6750712,27.84636402130127,116,116,120,99.74999999999989,115,True,116,390.055555555555,489.80555555555486
1752779374.782803,27.9540958404541,116,116,120,99.72222222222211,115,True,116,393.2777777777772,492.9999999999993
1752779374.8911185,28.062411308288574,116,116,120,99.69444444444434,115,True,116,396.49999999999943,496.1944444444438
1752779374.9996834,28.170976161956787,116,116,120,99.66666666666657,115,True,116,399.72222222222166,499.38888888888823
1752779375.108377,28.279669761657715,116,116,120,99.6388888888888,115,True,116,402.9444444444439,502.5833333333327
1752779375.216074,28.387366771697998,116,116,120,99.61111111111103,115,True,116,406.1666666666661,505.77777777777715
1752779375.324163,28.495455741882324,116,116,120,99.58333333333326,115,True,116,409.38888888888835,508.9722222222216
1752779375.434106,28.605398893356323,116,116,120,99.55555555555549,115,True,116,412.6111111111106,512.1666666666661
1752779375.5420377,28.713330507278442,116,116,120,99.52777777777771,115,True,116,415.8333333333328,515.3611111111105
1752779375.6518226,28.823115348815918,116,116,120,99.49999999999994,115,True,116,419.05555555555503,518.555555555555
1752779375.7592146,28.93050742149353,116,116,120,99.47222222222217,115,True,116,422.27777777777726,521.7499999999994
1752779375.8674061,29.03869891166687,116,116,120,99.4444444444444,115,True,116,425.4999999999995,524.9444444444439
1752779375.976175,29.147467851638794,116,116,120,99.41666666666663,115,True,116,428.7222222222217,528.1388888888883
1752779376.0836847,29.254977464675903,116,116,120,99.38888888888886,115,True,116,431.94444444444395,531.3333333333328
1752779376.1917207,29.36301350593567,116,116,120,99.36111111111109,115,True,116,435.1666666666662,534.5277777777773
1752779376.2978485,29.469141244888306,116,116,120,99.33333333333331,115,True,116,438.3888888888884,537.7222222222217
1752779376.4073615,29.578654289245605,116,116,120,99.30555555555554,115,True,116,441.61111111111063,540.9166666666662
1752779376.515983,29.687275886535645,116,116,120,99.27777777777777,115,True,116,444.83333333333286,544.1111111111106
1752779376.6232793,29.794572114944458,116,116,120,99.25,115,True,116,448.0555555555551,547.3055555555551
1752779376.728551,29.89984369277954,116,116,120,99.22222222222223,115,True,116,451.2777777777773,550.4999999999995
1752779376.8350313,30.00632405281067,116,116,120,99.19444444444446,115,True,116,454.49999999999955,553.694444444444
1752779376.9423254,30.11361813545227,116,116,120,99.16666666666669,115,True,116,457.7222222222218,556.8888888888885
